CMDLINE /home/lfgalizar/.pyenv/versions/3.10.8/bin/python3.10 sorts.py
MEM 0.625000 1694456263.3964
MEM 20.718750 1694456263.4967
MEM 20.718750 1694456263.5970
MEM 20.968750 1694456263.6973
MEM 21.218750 1694456263.7975
MEM 21.468750 1694456263.8978
MEM 21.593750 1694456263.9981
MEM 21.843750 1694456264.0983
MEM 22.093750 1694456264.1986
MEM 22.343750 1694456264.2989
MEM 22.468750 1694456264.3991
MEM 22.718750 1694456264.4994
MEM 22.968750 1694456264.5997
MEM 23.218750 1694456264.7000
MEM 23.468750 1694456264.8002
MEM 23.718750 1694456264.9005
MEM 23.968750 1694456265.0008
MEM 24.093750 1694456265.1010
MEM 24.343750 1694456265.2014
MEM 24.593750 1694456265.3016
MEM 24.843750 1694456265.4019
MEM 24.968750 1694456265.5022
MEM 25.218750 1694456265.6025
MEM 25.468750 1694456265.7028
MEM 25.718750 1694456265.8031
MEM 25.843750 1694456265.9033
MEM 26.093750 1694456266.0036
MEM 26.343750 1694456266.1040
MEM 26.593750 1694456266.2043
MEM 26.718750 1694456266.3046
MEM 26.968750 1694456266.4049
MEM 27.218750 1694456266.5051
MEM 27.468750 1694456266.6054
MEM 27.593750 1694456266.7056
MEM 27.843750 1694456266.8060
MEM 28.218750 1694456266.9062
MEM 28.468750 1694456267.0065
MEM 28.593750 1694456267.1068
MEM 28.843750 1694456267.2071
MEM 29.218750 1694456267.3074
MEM 29.468750 1694456267.4076
MEM 29.718750 1694456267.5079
MEM 29.968750 1694456267.6081
MEM 30.093750 1694456267.7084
MEM 30.343750 1694456267.8087
MEM 30.593750 1694456267.9090
MEM 30.843750 1694456268.0093
MEM 30.968750 1694456268.1096
MEM 31.218750 1694456268.2099
MEM 31.468750 1694456268.3102
MEM 31.593750 1694456268.4105
FUNC __main__.quicksort_inplace 20.7188 1694456263.5614 20.7188 1694456263.5615 9
FUNC __main__.quicksort_inplace 20.7188 1694456263.5617 20.7188 1694456263.5618 8
FUNC __main__.quicksort_inplace 20.7188 1694456263.5620 20.7188 1694456263.5621 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5623 20.7188 1694456263.5627 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5624 20.7188 1694456263.5625 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5625 20.7188 1694456263.5626 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5629 20.7188 1694456263.5641 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5630 20.7188 1694456263.5638 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5631 20.7188 1694456263.5636 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5632 20.7188 1694456263.5633 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5634 20.7188 1694456263.5635 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5636 20.7188 1694456263.5637 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5639 20.7188 1694456263.5640 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5643 20.7188 1694456263.5651 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5644 20.7188 1694456263.5645 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5646 20.7188 1694456263.5650 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5647 20.7188 1694456263.5647 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5648 20.7188 1694456263.5649 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5653 20.7188 1694456263.5726 0
FUNC __main__.quicksort_inplace 20.7188 1694456263.5654 20.7188 1694456263.5655 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5655 20.7188 1694456263.5725 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5656 20.7188 1694456263.5723 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5657 20.7188 1694456263.5679 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5658 20.7188 1694456263.5666 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5659 20.7188 1694456263.5660 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5661 20.7188 1694456263.5665 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5662 20.7188 1694456263.5663 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5664 20.7188 1694456263.5665 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5667 20.7188 1694456263.5678 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5668 20.7188 1694456263.5676 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5669 20.7188 1694456263.5673 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5670 20.7188 1694456263.5671 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5672 20.7188 1694456263.5672 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5674 20.7188 1694456263.5675 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5677 20.7188 1694456263.5677 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5680 20.7188 1694456263.5722 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5681 20.7188 1694456263.5706 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5682 20.7188 1694456263.5693 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5683 20.7188 1694456263.5690 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5684 20.7188 1694456263.5688 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5685 20.7188 1694456263.5685 8
FUNC __main__.quicksort_inplace 20.7188 1694456263.5686 20.7188 1694456263.5687 8
FUNC __main__.quicksort_inplace 20.7188 1694456263.5689 20.7188 1694456263.5690 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5691 20.7188 1694456263.5692 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5694 20.7188 1694456263.5705 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5695 20.7188 1694456263.5696 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5696 20.7188 1694456263.5704 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5697 20.7188 1694456263.5702 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5698 20.7188 1694456263.5699 8
FUNC __main__.quicksort_inplace 20.7188 1694456263.5700 20.7188 1694456263.5701 8
FUNC __main__.quicksort_inplace 20.7188 1694456263.5703 20.7188 1694456263.5703 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5707 20.7188 1694456263.5721 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5708 20.7188 1694456263.5712 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5709 20.7188 1694456263.5709 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5710 20.7188 1694456263.5711 6
